id;tip;kod;ad;adres;telefon;il_kod;il_ad;ilce_kod;ilce_ad;mahalle_ad;lat;lon;hafta_ici;cumartesi;pazar;aktiflik;guncellenme_tarihi
81;PTT_SUBE;6941;100. YIL  ŞUBESİ;YÜZÜNCÜYIL MAHALLESİ 85075 SOKAK No: 15 ÇUKUROVA ADANA;03222566002;1;ADANA;;;;37.045987;35.246283;08:30-12:30/13:30-17:00;KAPALI;KAPALI;1;2026-09-14 08:28:03
80;PTT_SUBE;2855;177. YIL  MÜDÜRLÜĞÜ;BELEDİYE EVLERİ MAHALLESİ TURGUT ÖZAL BULVAR No: 249 ÇUKUROVA ADANA;03222472487;1;ADANA;;;;37.050484;35.261427;08:30-17:00;KAPALI;KAPALI;1;2026-09-14 08:28:03
79;PTT_SUBE;2709;6. KOLORDU KOMUTANLIĞI ŞUBESİ;KÖPRÜLÜ MAHALLESİ MİTHAT ÖZSAN BULVAR No: 6 YÜREĞİR ADANA;03223442835;1;ADANA;;;;37.010773;35.337528;08:30-12:30/13:30-17:00;KAPALI;KAPALI;1;2026-09-14 08:28:03
78;PTT_SUBE;7921;ADANA KARGO DAĞITIM  MÜDÜRLÜĞÜ;FEVZİPAŞA MAHALLESİ 48019 SOKAK No: 16 /1 SEYHAN ADANA;03224214008;1;ADANA;;;;36.996029;35.278117;08:30-23:30/-;08:30-23:30/-;08:30-23:30/-;1;2026-09-14 08:28:03
77;PTT_SUBE;3976;ADANA POSTA KARGO İŞLEME MÜDÜRLÜĞÜ;ACIDEREOSB MAHALLESİ TURGUT ÖZAL BULVAR No: 16 SARIÇAM ADANA;03224214042;1;ADANA;;;;36.972586428;35.60030712;08:00-08:00/-;08:00-08:00/-;08:00-08:00/-;1;2026-09-14 08:28:03
76;PTT_SUBE;6942;ADANA-KOOP  ŞUBESİ;BELEDİYE EVLERİ MAHALLESİ 84029 SOKAK No: 6 A ÇUKUROVA ADANA;03222487809;1;ADANA;;;;37.033635;35.260468;08:30-12:30/13:30-17:00;KAPALI;KAPALI;1;2026-09-14 08:28:03
75;PTT_SUBE;2146;ADLİYE SARAYI MÜDÜRLÜĞÜ;KAZIM KARABEKİR MAHALLESİ 4264 SOKAK No: 28 YÜREĞİR ADANA;03223599971;1;ADANA;;;;37.008354342;35.345769118;08:30-17:00;KAPALI;KAPALI;1;2026-09-14 08:28:03
74;PTT_SUBE;2856;ADNAN KAHVECİ MÜDÜRLÜĞÜ;MAHFESIĞMAZ MAHALLESİ DEVLET BAHÇELİ. BULVAR No: 2  /1- ÇUKUROVA ADANA;03222345792;1;ADANA;;;;37.032065;35.309858;08:30-17:00;KAPALI;KAPALI;1;2026-09-14 08:28:03
73;PTT_SUBE;7701;AKINCILAR  ŞUBESİ;SİNANPAŞA MAHALLESİ KOZAN CADDE No: 105 YÜREĞİR ADANA;03223233313;1;ADANA;;;;36.991905;35.34574;08:30-12:30/13:30-17:00;KAPALI;KAPALI;1;2026-09-14 08:28:03
72;PTT_SUBE;8560;AKKAPI ŞUBESİ;AKKAPI MAHALLESİ ŞIH CEMİL CADDE No: 105 A SEYHAN ADANA;0;1;ADANA;;;;36.966425;35.311492;08:30-12:30/13:30-17:00;KAPALI;KAPALI;1;2026-09-14 08:28:03
